year,PfPR,Cases,Severe cases,Pop,agebin,pfpr2to10,cm_cov_U5,itn_coverage,smc_coverage,Run_Number
2024,0.1769557759714,1.562458072789,0.005444104783237,183.6849315068,15.0,0.1154566176067,0.6,0.0,0,1
2022,0.4045771232031,2.631515040994,0.01609489321709,124.2630136986,20.0,0.2388081608689,0.6,0.0,0,1
2023,0.1677795985252,0.7999794962816,0.007476443890482,133.7534246575,20.0,0.04676772180116,0.6,0.0,0,1
2024,0.2250974123289,1.713957400061,0.01458687148988,137.1095890411,20.0,0.1154566176067,0.6,0.0,0,1
2022,0.4065305130732,2.731148466002,0.01806532358751,608.901369863,100.0,0.2388081608689,0.6,0.0,0,1
2023,0.165360165184,0.7404587514466,0.0,606.3808219178,100.0,0.04676772180116,0.6,0.0,0,1
2024,0.2449089277662,1.893569167238,0.001662483904511,601.5095890411,100.0,0.1154566176067,0.6,0.0,0,1
2022,0.02205882352941,0.7668067216873,0.0,7.824657534247,0.25,0.2709102885874,0.6,0.0,0,0
2023,0.0,0.0,0.0,6.402739726027,0.25,0.04960582885316,0.6,0.0,0,0
2024,0.0,0.0,0.0,5.175342465753,0.25,0.0005221082903949,0.6,0.0,0,0
2022,0.1208268665588,1.530726836063,0.02410593442619,82.96712328767,2.0,0.2709102885874,0.6,0.0,0,0
2023,0.02470979239921,0.2109725028276,0.0,56.87945205479,2.0,0.04960582885316,0.6,0.0,0,0
2024,0.0,0.0,0.0,37.01095890411,2.0,0.0005221082903949,0.6,0.0,0,0
2022,0.2176594676042,1.987242546864,0.007332998327911,136.3698630137,5.0,0.2709102885874,0.6,0.0,0,0
2023,0.0372358744758,0.2883855756372,0.0,135.2356164384,5.0,0.04960582885316,0.6,0.0,0,0
2024,0.0,0.0,0.0,125.2794520548,5.0,0.0005221082903949,0.6,0.0,0,0
2022,0.3086923054993,2.325669308659,0.0364198773168,192.202739726,10.0,0.2709102885874,0.6,0.0,0,0
2023,0.05839184989064,0.3834033724852,0.0,190.4,10.0,0.04960582885316,0.6,0.0,0,0
2024,0.0008578620951524,0.0,0.0,194.8136986301,10.0,0.0005221082903949,0.6,0.0,0,0
2022,0.3471292058139,2.71998719871,0.01172408275306,170.5890410959,15.0,0.2709102885874,0.6,0.0,0,0
2023,0.08984296692282,0.585365831852,0.0,164.0,15.0,0.04960582885316,0.6,0.0,0,0
2024,0.0001235635734585,0.0,0.0,155.2082191781,15.0,0.0005221082903949,0.6,0.0,0,0
2022,0.406636853924,2.767115167808,0.04203212913126,142.7479452055,20.0,0.2709102885874,0.6,0.0,0,0
2023,0.1281031683782,0.6324899988249,0.0,150.2,20.0,0.04960582885316,0.6,0.0,0,0
2024,0.0009845461418098,0.006417131051421,0.0,155.8328767123,20.0,0.0005221082903949,0.6,0.0,0,0
2022,0.4152353064213,2.777389567927,0.01679564884398,654.9315068493,100.0,0.2709102885874,0.6,0.0,0,0
2023,0.1623301932732,0.7124955853214,0.0,652.6356164384,100.0,0.04960582885316,0.6,0.0,0,0
2024,0.002481241473397,0.001556105096824,0.0,642.6301369863,100.0,0.0005221082903949,0.6,0.0,0,0
