month,PfPR U5,Cases U5,Severe cases U5,Pop U5,PfPR_2to10,annualeir,year,x_Temporary_Larval_Habitat,Run_Number
6,0.0,0.0,0.0,351.3666666667,0.0,0.0,2012,0.03138568472155922,0
7,0.006231117824773,0.1378398835659,0.0,353.0666666667,0.004724811646022,0.0,2012,0.03138568472155922,0
8,0.006599415480343,0.0,0.0,353.5666666667,0.004969735584581,0.01169309626782,2012,0.03138568472155922,0
9,0.006550626988583,0.0,0.0,356.2,0.005508769708099,0.02915708506524,2012,0.03138568472155922,0
10,0.001571600258852,0.0,0.0,360.5666666667,0.002018036198524,0.00584654813391,2012,0.03138568472155922,0
11,0.002675029978784,0.0336684808135,0.0,361.3666666667,0.001507348323075,0.01754526608263,2012,0.03138568472155922,0
12,0.001184834123223,0.0,0.0,365.7333333333,0.001189432828346,0.005840934549528,2012,0.03138568472155922,0
1,0.0,0.0,0.0,367.0,0.0006912587192861,0.005835331734612,2013,0.03138568472155922,0
2,0.0,0.0,0.0,362.8333333333,0.0001887979861548,0.01745020274744,2013,0.03138568472155922,0
3,0.0,0.0,0.0,365.6333333333,0.0,0.03487539988508,2013,0.03138568472155922,0
4,0.0,0.0,0.0,366.5666666667,0.0,0.01161218550165,2013,0.03138568472155922,0
5,0.002173322466721,0.03305261209607,0.0,368.1,0.001513050056739,0.01737819481275,2013,0.03138568472155922,0
6,0.003463676966548,0.03326952829957,0.0,365.7,0.001446995910664,0.0115873015873,2013,0.03138568472155922,0
7,0.006527651858568,0.09927470237017,0.0,367.6666666667,0.008030112923463,0.0,2013,0.03138568472155922,0
8,0.004881135315918,0.0,0.0,368.7666666667,0.007672955974843,0.0,2013,0.03138568472155922,0
9,0.004715697832593,0.0,0.0,367.5666666667,0.007565250283697,0.0,2013,0.03138568472155922,0
10,9.041591320072e-05,0.0,0.0,368.6666666667,0.001953248062504,0.0,2013,0.03138568472155922,0
11,0.0,0.0,0.0,368.1,0.002373220084936,0.0,2013,0.03138568472155922,0
12,0.0,0.0,0.0,367.0,0.0009860717367188,0.0,2013,0.03138568472155922,0
1,0.0,0.0,0.0,360.4333333333,0.0003052689419378,0.0,2014,0.03138568472155922,0
2,0.0,0.0,0.0,354.4,0.0,0.0,2014,0.03138568472155922,0
3,0.0,0.0,0.0,357.7,0.0,0.0,2014,0.03138568472155922,0
4,0.0,0.0,0.0,358.1666666667,0.0,0.0,2014,0.03138568472155922,0
5,0.0,0.0,0.0,358.6333333333,0.0,0.0,2014,0.03138568472155922,0
6,0.0,0.0,0.0,358.4333333333,0.0,0.0,2014,0.03138568472155922,0
7,0.005807962529274,0.1367681473494,0.0,355.8333333333,0.004496509288842,0.0,2014,0.03138568472155922,0
8,0.003969003969004,0.0,0.0,352.7333333333,0.001002476707159,0.0,2014,0.03138568472155922,0
9,0.002950975725845,0.0,0.0,350.1666666667,0.0007106899615043,0.0,2014,0.03138568472155922,0
10,0.0006653359946773,0.0,0.0,350.7,0.0,0.0,2014,0.03138568472155922,0
11,0.0003784653231148,0.0,0.0,352.3,0.0,0.0,2014,0.03138568472155922,0
12,0.0,0.0,0.0,347.7,0.0,0.0,2014,0.03138568472155922,0
